Modelo,RMSE_Médio_CV,RMSE_DesvPad_CV,N_Folds,Fold_1,Fold_2,Fold_3,Fold_4,Fold_5,Interpretação
ARIMA,160553.21,61080.18,3,246502.17,125046.23,110111.22,,,Alta variância (modelo sensível ao período de treino)
SARIMAX-12,160448.69,68444.83,3,257244.24,111959.01,112142.82,,,Alta variância (modelo sensível ao período de treino)
Holt-Winters,166614.99,58612.44,3,248716.01,135448.52,115680.45,,,Alta variância (modelo sensível ao período de treino)
Theta,151251.54,75516.16,3,257876.15,103176.58,92701.89,,,Alta variância (modelo sensível ao período de treino)
Naive_Sazonal,181021.4,59005.1,3,239503.35,203329.43,100231.43,,,Alta variância (modelo sensível ao período de treino)
Drift,305736.54,211587.59,3,255890.1,586179.74,75139.76,,,Alta variância (modelo sensível ao período de treino)
,,,,,,,,,
Validação Rolling-Origin com 3 folds × 12 meses cada. Compara robustez relativa entre modelos sob diferentes janelas de treino.,,,,,,,,,
