Modelo,Parâmetro,Valor,Erro Padrão,p-valor,IC95% Inf,IC95% Sup,Significativo (p<0.05)
Theta,theta_0 (drift linear),684.7233,—,—,—,—,
Theta,alpha (suavização SES),0.0648,—,—,—,—,
Theta,período sazonal,12,—,—,—,—,
,,,,,,,
GradientBoosting,EQUAÇÃO,"Gradient Boosting com forecast DIRETO multi-step (Bontempi, Taieb & Le Borgne, 2013): para cada horizonte h ∈ {1,...,12}, treina-se modelo independente ŷ(t+h) = F_h(x_t), onde F_h = Σⱼ γⱼ·hⱼ(x). Total: 12 modelos especializados. Features: lag_1..lag_12, médias móveis, mês, precipitação, letivo, área construída m², área total m² [v3.8].",,,,,
GradientBoosting,Configuração,"GBR-DIRECT(H=12, n=200, depth=3, lr=0.05)",,,,,
GradientBoosting,"Usa exógenas (chuva, letivo)",Sim,,,,,
GradientBoosting,importância_lag_1,0.1398,—,—,—,—,
GradientBoosting,importância_lag_2,0.1036,—,—,—,—,
GradientBoosting,importância_lag_3,0.125,—,—,—,—,
GradientBoosting,importância_lag_6,0.1918,—,—,—,—,
GradientBoosting,importância_lag_12,0.1337,—,—,—,—,
GradientBoosting,importância_mm_3,0.0889,—,—,—,—,
GradientBoosting,importância_mm_6,0.1401,—,—,—,—,
GradientBoosting,importância_mes,0.0619,—,—,—,—,
GradientBoosting,importância_precipitacao,0.006,—,—,—,—,
GradientBoosting,importância_letivo,0.0092,—,—,—,—,
GradientBoosting,importância_area_construida,0,—,—,—,—,
GradientBoosting,importância_area_total,0,—,—,—,—,
,,,,,,,
LSTM_Forecast,EQUAÇÃO,"LSTM Forecast (v3.8): janela deslizante de 12 meses → LSTM(64) → Dense(32,ReLU) → Dense(12). Entrada x_t ∈ ℝ^5 = [y(t), precip, letivo, área_c, área_t]. Saída ŷ = W_out·h_12 + b_out ∈ ℝ^12. Perda: MSE.",,,,,
LSTM_Forecast,Configuração,"LSTM(W=12,units=64)+exog4",,,,,
LSTM_Forecast,"Usa exógenas (chuva, letivo)",Sim,,,,,
LSTM_Forecast,arquitetura,NaN,—,—,—,—,
,,,,,,,
Ensemble,EQUAÇÃO,"Ensemble = 0.110·ARIMA + 0.116·SARIMAX-12 + 0.120·SARIMAX-6 + 0.097·Holt-Winters + 0.064·Prophet/UC + 0.128·Theta + 0.194·GradientBoosting + 0.170·LSTM_Forecast. Pesos ∝ 1/RMSE_holdout, normalizados.",,,,,
Ensemble,Configuração,Média ponderada por 1/RMSE,,,,,
Ensemble,"Usa exógenas (chuva, letivo)",Sim,,,,,
Ensemble,peso_ARIMA,0.1096,—,—,—,—,
Ensemble,peso_SARIMAX-12,0.1162,—,—,—,—,
Ensemble,peso_SARIMAX-6,0.1202,—,—,—,—,
Ensemble,peso_Holt-Winters,0.0973,—,—,—,—,
Ensemble,peso_Prophet/UC,0.0642,—,—,—,—,
Ensemble,peso_Theta,0.1284,—,—,—,—,
Ensemble,peso_GradientBoosting,0.1944,—,—,—,—,
Ensemble,peso_LSTM_Forecast,0.1697,—,—,—,—,
